Timestamp,University,Gender,Current academic year,G.P.A value,sports,Number of practice days per week 
2018/05/31 11:27:54 AM GMT+5:30,University of Moratuwa,Male,Graduated,3.3,No,
2018/05/31 11:29:58 AM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.2,No,
2018/05/31 11:32:05 AM GMT+5:30,University of Moratuwa,Male,Graduated,3.88,No,
2018/05/31 11:33:42 AM GMT+5:30,University of Moratuwa,Male,Graduated,3.48,No,
2018/05/31 11:40:14 AM GMT+5:30,University of Colombo,Female,Graduated,3.43,No,
2018/05/31 11:46:52 AM GMT+5:30,University of Colombo,Male,Graduated,3.7,No,
2018/05/31 12:03:02 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.1,Yes,2 days
2018/05/31 12:03:17 PM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3,No,
2018/05/31 12:21:48 PM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.4,No,
2018/05/31 12:43:44 PM GMT+5:30,University of Colombo,Male,Graduated,2.76,Yes,2 days
2018/05/31 7:17:05 PM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,2.95,No,
2018/06/01 8:32:56 AM GMT+5:30,University of Sri Jayawardenapura,Female,3rd year,3.4,Yes,2 days
2018/06/01 12:41:00 PM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.72,No,
2018/06/04 1:03:34 PM GMT+5:30,University of Peradeniya,Male,Graduated,3.45,Yes,1 day
2018/06/04 3:06:32 PM GMT+5:30,University of Peradeniya,Male,2nd year,2.45,No,
2018/06/04 3:07:32 PM GMT+5:30,University of Peradeniya,Male,2nd year,2.45,No,
2018/06/17 8:51:10 AM GMT+5:30,University of Peradeniya,Male,3rd year,2.7,No,
2018/06/17 9:02:40 AM GMT+5:30,University of Peradeniya,Male,3rd year,2.097,No,
2018/06/17 9:05:18 AM GMT+5:30,University of Peradeniya,Female,4th year,3.49,No,
2018/06/17 9:06:06 AM GMT+5:30,University of Peradeniya,Male,3rd year,2.25,Yes,2 days
2018/06/17 9:08:46 AM GMT+5:30,University of Peradeniya,Male,3rd year,2.3,No,
2018/06/17 9:50:19 AM GMT+5:30,University of Peradeniya,Male,3rd year,3.546,No,
2018/06/17 9:56:59 AM GMT+5:30,University of Peradeniya,Male,3rd year,3.45,Yes,more than 3 days
2018/06/17 10:27:23 AM GMT+5:30,University of Peradeniya,Male,3rd year,2.622,No,
2018/06/17 10:32:48 AM GMT+5:30,University of Peradeniya,Male,3rd year,2.23,No,
2018/06/17 11:03:16 AM GMT+5:30,University of Peradeniya,Female,3rd year,3.08,No,
2018/06/17 11:08:48 AM GMT+5:30,University of Peradeniya,Female,3rd year,2.8956,No,
2018/06/17 1:54:58 PM GMT+5:30,University of Peradeniya,Female,3rd year,2.9,No,
2018/06/17 1:56:44 PM GMT+5:30,University of Peradeniya,Female,3rd year,3,No,
2018/06/18 12:07:21 PM GMT+5:30,University of Peradeniya,Male,Graduated,2.8,No,
2018/06/18 3:48:23 PM GMT+5:30,University of Peradeniya,Male,3rd year,3,No,
2018/06/22 8:20:32 PM GMT+5:30,University of Peradeniya,Female,3rd year,3.24,No,
